"SourceTarballScriptFolders","SpecFoldersWithoutSourceTarballScript"
"","acpica-tools"
"","application-gateway-kubernetes-ingress"
"","azcopy"
"","blobfuse2"
"","calamares"
"","cert-manager"
"","cf-cli"
"","chrony"
"","clamav"
"","cloud-hypervisor-cvm"
"","cni"
"","coredns"
"","crash"
"","docker-cli"
"","docker-compose"
"","edk2"
"","etcd"
"","flannel"
"","flux"
"","freeglut"
"","freetype"
"","gc"
"","gh"
"","git-lfs"
"","golang"
"","grpc"
"","grub2"
"","helm"
"","ig"
"","influx-cli"
"","influxdb"
"","jx"
"","kata-containers"
"","kata-containers-cc"
"","keda"
"","kexec-tools"
"","kube-vip-cloud-provider"
"","kured"
"","libcontainers-common"
"","libidn2"
"","libnbd"
"","libnvidia-container"
"","libtpms"
"","linuxptp"
"","lua"
"","luajit"
"","mdevctl"
"","netavark"
"","nginx"
"","node-problem-detector"
"","ntopng"
"","nvidia-container-toolkit"
"","opentelemetry-cpp"
"","packer"
"","perl-Net-SSLeay"
"","postfix"
"","priv_wrapper"
"","prometheus"
"","prometheus-node-exporter"
"","prometheus-process-exporter"
"","python-cryptography"
"","python-ml-dtypes"
"","rsyslog"
"","rubygem-http_parser"
"","rust"
"","sisu"
"","sriov-network-device-plugin"
"","SymCrypt"
"","telegraf"
"","tensorflow"
"","virtiofsd"
"","vitess"
"","xorg-x11-apps"
"","zipper"
